Month,Part_Code,Inv_data,Value,Brand
Oct-24,FM 1020-STD ,Pur Qty,0,Sheet1
Oct-24,FM 1020-STD ,Sal Qty,3,Sheet1
Oct-24,FM 1020-STD ,Bal Qty,16,Sheet1
Nov-24,FM 1020-STD ,Pur Qty,0,Sheet1
Nov-24,FM 1020-STD ,Sal Qty,0,Sheet1
Nov-24,FM 1020-STD ,Bal Qty,16,Sheet1
Dec-24,FM 1020-STD ,Pur Qty,0,Sheet1
Dec-24,FM 1020-STD ,Sal Qty,0,Sheet1
Dec-24,FM 1020-STD ,Bal Qty,16,Sheet1
Jan-25,FM 1020-STD ,Pur Qty,0,Sheet1
Jan-25,FM 1020-STD ,Sal Qty,0,Sheet1
Jan-25,FM 1020-STD ,Bal Qty,16,Sheet1
Feb-25,FM 1020-STD ,Pur Qty,0,Sheet1
Feb-25,FM 1020-STD ,Sal Qty,0,Sheet1
Feb-25,FM 1020-STD ,Bal Qty,16,Sheet1
Mar-25,FM 1020-STD ,Pur Qty,0,Sheet1
Mar-25,FM 1020-STD ,Sal Qty,0,Sheet1
Mar-25,FM 1020-STD ,Bal Qty,16,Sheet1
Apr-25,FM 1020-STD ,Pur Qty,0,Sheet1
Apr-25,FM 1020-STD ,Sal Qty,0,Sheet1
Apr-25,FM 1020-STD ,Bal Qty,16,Sheet1
May-25,FM 1020-STD ,Pur Qty,0,Sheet1
May-25,FM 1020-STD ,Sal Qty,0,Sheet1
May-25,FM 1020-STD ,Bal Qty,16,Sheet1
Jun-25,FM 1020-STD ,Pur Qty,0,Sheet1
Jun-25,FM 1020-STD ,Sal Qty,0,Sheet1
Jun-25,FM 1020-STD ,Bal Qty,16,Sheet1
Jun-24,FM 10234-STD ,Opn Qty,1,Sheet1
Jun-24,FM 10234-STD ,Pur Qty,0,Sheet1
Jun-24,FM 10234-STD ,Sal Qty,0,Sheet1
Jun-24,FM 10234-STD ,Bal Qty,0,Sheet1
Jul-24,FM 10234-STD ,Pur Qty,0,Sheet1
Jul-24,FM 10234-STD ,Sal Qty,0,Sheet1
Jul-24,FM 10234-STD ,Bal Qty,0,Sheet1
Aug-24,FM 10234-STD ,Pur Qty,0,Sheet1
Aug-24,FM 10234-STD ,Sal Qty,0,Sheet1
Aug-24,FM 10234-STD ,Bal Qty,0,Sheet1
Sep-24,FM 10234-STD ,Pur Qty,0,Sheet1
Sep-24,FM 10234-STD ,Sal Qty,0,Sheet1
Sep-24,FM 10234-STD ,Bal Qty,0,Sheet1
Oct-24,FM 10234-STD ,Pur Qty,0,Sheet1
Oct-24,FM 10234-STD ,Sal Qty,0,Sheet1
Oct-24,FM 10234-STD ,Bal Qty,0,Sheet1
Nov-24,FM 10234-STD ,Pur Qty,0,Sheet1
Nov-24,FM 10234-STD ,Sal Qty,0,Sheet1
Nov-24,FM 10234-STD ,Bal Qty,0,Sheet1
Dec-24,FM 10234-STD ,Pur Qty,0,Sheet1
Dec-24,FM 10234-STD ,Sal Qty,0,Sheet1
Dec-24,FM 10234-STD ,Bal Qty,0,Sheet1
Jan-25,FM 10234-STD ,Pur Qty,0,Sheet1
Jan-25,FM 10234-STD ,Sal Qty,0,Sheet1
Jan-25,FM 10234-STD ,Bal Qty,0,Sheet1
Feb-25,FM 10234-STD ,Pur Qty,0,Sheet1
Feb-25,FM 10234-STD ,Sal Qty,0,Sheet1
Feb-25,FM 10234-STD ,Bal Qty,0,Sheet1
Mar-25,FM 10234-STD ,Pur Qty,0,Sheet1
Mar-25,FM 10234-STD ,Sal Qty,0,Sheet1
Mar-25,FM 10234-STD ,Bal Qty,0,Sheet1
Apr-25,FM 10234-STD ,Pur Qty,0,Sheet1
Apr-25,FM 10234-STD ,Sal Qty,0,Sheet1
Apr-25,FM 10234-STD ,Bal Qty,0,Sheet1
May-25,FM 10234-STD ,Pur Qty,0,Sheet1
May-25,FM 10234-STD ,Sal Qty,0,Sheet1
May-25,FM 10234-STD ,Bal Qty,0,Sheet1
Jun-25,FM 10234-STD ,Pur Qty,0,Sheet1
Jun-25,FM 10234-STD ,Sal Qty,0,Sheet1
Jun-25,FM 10234-STD ,Bal Qty,0,Sheet1
Jun-24,FM 1035-010 ,Opn Qty,0,Sheet1
Jun-24,FM 1035-010 ,Pur Qty,0,Sheet1
Jun-24,FM 1035-010 ,Sal Qty,0,Sheet1
