Seq No,Itm Code,Function Description,Opn Qty,Pur Qty 01,Sal Qty 01,Bal Qty 01,Pur Qty 02,Sal Qty 02,Bal Qty 02,Pur Qty 03,Sal Qty 03,Bal Qty 03,Pur Qty 04,Sal Qty 04,Bal Qty 04,Pur Qty 05,Sal Qty 05,Bal Qty 05,Pur Qty 06,Sal Qty 06,Bal Qty 06,Pur Qty 07,Sal Qty 07,Bal Qty 07,Pur Qty 08,Sal Qty 08,Bal Qty 08,Pur Qty 09,Sal Qty 09,Bal Qty 09,Pur Qty 10,Sal Qty 10,Bal Qty 10,Pur Qty 11,Sal Qty 11,Bal Qty 11,Pur Qty 12,Sal Qty 12,Bal Qty 12
83,GAB63638 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,GAB63662 ,SHOCK ABSORBER,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,80,0,76,4,0,2,2
85,GAB63675 ,SHOCK ABSORBER,3,197,4,196,0,14,182,0,20,162,0,20,142,0,26,116,0,46,70,0,38,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
86,GAB63714 ,SHOCK ABSORBER,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8
87,GAB63716 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,GAB63717 ,SHOCK ABSORBER,2,10,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,2,10,0,2,8,0,0,8,0,4,4,0,0,4
89,GAB63776 ,SHOCK ABSORBER,8,0,0,8,0,2,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,2,4,0,2,2,12,0,14,0,4,10,0,3,7
90,GAB63803 ,SHOCK ABSORBER,2,300,2,300,0,24,276,0,10,266,0,14,252,0,25,227,0,28,199,0,40,159,0,104,55,0,15,40,0,24,16,0,14,2,0,0,2
91,GAB63817 ,SHOCK ABSORBER,2,250,2,250,0,20,230,0,12,218,0,67,151,0,30,121,0,50,71,0,44,27,0,16,11,0,6,5,100,26,79,0,67,12,0,11,1
92,GAB63829 ,SHOCK ABSORBER,0,4,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4
93,GAB63842 ,SHOCK ABSORBER,3,60,10,53,0,10,43,0,8,35,0,16,19,0,9,10,0,0,10,0,8,2,0,0,2,0,0,2,100,0,102,0,20,82,0,7,75
94,GAB63844 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,4
95,GAB63847 ,SHOCK ABSORBER,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,6,0,0,6,0,0,6
96,GAB63866 ,SHOCK ABSORBER,2,281,6,277,0,32,245,117,38,324,200,52,472,0,79,393,0,117,276,0,68,210,0,88,122,0,118,4,0,4,0,4,2,0,0,0,0
97,GAB63881 ,SHOCK ABSORBER,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,GAB63892 ,SHOCK ABSORBER,0,6,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,2,4,0,0,4,0,0,4,0,0,4,0,0,4
99,GAB63894 ,SHOCK ABSORBER,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,0,1,0,1,0,5,0,5,0,2,3,0,1,2
100,GAB63895 ,SHOCK ABSORBER,1,30,0,31,0,8,23,0,2,21,0,6,15,0,12,3,0,2,1,0,0,1,0,0,1,0,0,1,50,0,51,0,2,49,0,12,37
101,GAB63896 ,SHOCK ABSORBER,59,0,0,59,0,0,59,0,2,57,0,10,47,0,2,45,0,5,40,0,6,33,0,4,29,0,9,20,0,16,4,0,0,4,0,4,0
102,GAB63897 ,SHOCK ABSORBER,17,10,2,25,0,10,15,0,2,13,0,2,11,0,4,7,0,6,1,0,0,1,0,1,0,0,0,0,50,0,50,0,0,50,0,2,48
103,GAB63905 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
